thread_id,customer_tweet_id,customer_author_id,customer_text,brand_tweet_id,brand_text,turn_count,created_at
twcs_apple_00013,756,115868,MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport,755,@115868 Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,4,Tue Oct 31 20:49:07 +0000 2017
twcs_apple_00014,758,115869,Hey @115858! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,757,@115869 We're here to help. Meet us in DM and we can check on available options. https://t.co/GDrqU22YpT,2,Tue Oct 31 22:10:06 +0000 2017
twcs_apple_00015,765,115870,After update #ios1103 no spotify on my lock screen?@AppleSupport,764,@115870 Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,4,Tue Oct 31 18:20:46 +0000 2017
twcs_apple_00016,767,115871,I just need @115858 to do something about the battery life because it sucks ass,766,@115871 We want to help you get your battery life back on track. Please DM and we'll look at it together. https://t.co/GDrqU22YpT,2,Tue Oct 31 22:08:32 +0000 2017
twcs_apple_00017,1755,116097,"Why does my I️ not work ?! 
@115858 please fix this!!!",1754,@116097 We'd like to look into this with you. Please DM us your current iOS version and your iPhone model. https://t.co/GDrqU22YpT,2,Tue Oct 31 22:36:21 +0000 2017
twcs_apple_00018,1759,116098,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ @115858 @AppleSupport #anybody https://t.co/urzAfSZL5z,1758,"@116098 We definitely understand your concern. Please backup your iPhone, update and let us know the result: https://t.co/ahjigcvFRG",4,Tue Oct 31 18:17:27 +0000 2017
twcs_apple_00019,1761,116099,iOS 11 is killing my battery @115858. Fix it.,1760,@116099 We're here to help. Which exact iOS version is your device running? This info can be found under Settings &gt; General &gt; About.,2,Tue Oct 31 22:33:01 +0000 2017
twcs_apple_00020,1764,116100,"@AppleSupport Hello, I need some help regarding the region change on my Apple ID",1762,@116100 This article should help with that: https://t.co/usOJWy6ChP,4,Tue Oct 31 22:29:29 +0000 2017
twcs_apple_00021,1770,116101,@AppleSupport why is my home sharing not working and how do i fix it,1769,@116101 We're happy to help. Has Home Sharing worked with these devices before?,4,Tue Oct 31 22:07:33 +0000 2017
twcs_apple_00022,1779,116102,@115858 my PHONE app doesn’t work. Thank you for updating my #iPhone to an #ipod,1778,@116102 We want you to be able to make calls on the iPhone. What exactly is going on with the Phone app?,4,Tue Oct 31 22:04:38 +0000 2017
twcs_apple_00023,1781,116104,@AppleSupport why can’t I change ringer volume with the buttons? Whose dumb idea was it to change that and how do they still have a job?,1780,@116104 Let us look into that. What device and OS version are you using?,2,Tue Oct 31 22:27:15 +0000 2017
twcs_apple_00024,1783,116105,@115858 if my words even mean a thing to you; I am an iPhone 7 owner and have updated to your latest software and now am having the most dropped calls in history and glitch’s such as apps randomly opening and more ... #iHelp,1782,@116105  We want to help.  Send us a DM letting us know if you are updated to iOS 11.1 https://t.co/GDrqU22YpT,2,Tue Oct 31 22:27:45 +0000 2017
twcs_apple_00025,1785,116106,@AppleSupport epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ?,1784,@116106 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,2,Tue Oct 31 22:27:34 +0000 2017
twcs_apple_00026,1791,116107,why won’t my apps fuccin download or update @AppleSupport,1790,@116107 Apps are important and we want you to get back to enjoying them. Which model do you have? Is iOS 11.1 installed on it?,4,Tue Oct 31 21:25:20 +0000 2017
twcs_apple_00027,2613,116332,"Cupertino, we have a problem. .@115858 .@116333 .@AppleSupport .@190 https://t.co/ImMcJ8QsTM",2611,@116332 We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.,5,Tue Oct 31 22:44:41 +0000 2017
twcs_apple_00028,2616,116334,"@AppleSupport why is my battery life short? I updated to 11.1, my battery is poor. Wife didn’t she likes her battery life",2614,"@116334 Let’s work together on this situation. To clarify, did this start after updating to iOS 11.1? Also, which device are you using?",4,Tue Oct 31 22:48:09 +0000 2017
twcs_apple_00029,2620,116335,@AppleSupport watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,2618,@116335 You should still be able to control Music on your iPhone from the watch. Check out the user guide here: https://t.co/vRQnmrhVHj,4,Tue Oct 31 22:47:13 +0000 2017
twcs_apple_00030,2624,116336,"It’s been a few days since @115858 made me update my phone’s operating system. Now constantly glitching, hmm 🤔 I’m shocked!",2622,@116336 Hi there! iOS 11.1 was released earlier today containing some bug fixes. Let's back up and update: https://t.co/80YRnjDFDk,3,Tue Oct 31 22:49:04 +0000 2017
twcs_apple_00031,2628,116337,Question- @249 @115858 my iPhone6 dies very quick (have to charge it 3 times a day) my iPhone5 battery was faulty. Could this be the same?,2626,"@116337 We know how important your battery is &amp; we'll be happy to help. Which iOS version are you using? Also, when did this issue begin?",4,Tue Oct 31 22:50:00 +0000 2017
twcs_apple_00032,2632,116338,And why is my music NEVER in my control center?! @AppleSupport,2630,@116338 We're here to help out! Which device is this on and which version of iOS is currently installed?,4,Tue Oct 31 22:44:52 +0000 2017
twcs_apple_00033,2635,116339,"@115858 Just updated iOS on iPhone7, now iCloud backup greyed out, cannot be turned on, says “Last Backup Never”",2634,@116339 Check out this link: https://t.co/Lr8zUtw9ls Send us a DM if it doesn't help. https://t.co/GDrqU22YpT,2,Tue Oct 31 22:42:07 +0000 2017
twcs_apple_00034,2638,116340,@AppleSupport ...cost for sending in for diagnosing a problem if it's out of warranty?,2636,@116340 We can help. Let’s start with the following steps to see if we can save you a trip in for service: https://t.co/RqWW0duJ0U,4,Tue Oct 31 22:45:03 +0000 2017
twcs_apple_00035,2642,116341,@AppleSupport still no reliable Bluetooth on my iPhone 8+.,2641,@116341 Thanks for reaching out. DM which Bluetooth device you are trying to connect to so we can help. https://t.co/GDrqU22YpT,2,Tue Oct 31 22:44:01 +0000 2017
twcs_apple_00036,2645,116342,@115858 when will the bug in the calendar app be fixed? I upgraded to iOS 11.1 and it still crashes when iOS 11.03,2643,@116342 We'd like to help. What is going on with the app?,4,Tue Oct 31 22:41:02 +0000 2017
twcs_apple_00037,2648,116343,@AppleSupport do you have any apps for epilepsy so I can detect my seizures thanks in advance,2647,"@116343 Hey, we can provide some guidance. Let's meet in DM and we'll go from there. https://t.co/GDrqU22YpT",2,Tue Oct 31 22:37:41 +0000 2017
twcs_apple_00038,2650,116344,"@115858 really needs to fix this update. My phone has never been slower, for real.",2649,@116344 We're here to help with any issues you may having with performance. Let us know the exact iOS version to get started.,2,Tue Oct 31 22:43:42 +0000 2017
twcs_apple_00039,2656,116345,My iPhone has erased and re-added emails dating back from 2013 til now twice in the past 24 hours. Wth??? @AppleSupport,2655,"@116345 We'll be happy to look into this with you. To clarify, which iPhone model do you have and what's the exact iOS version?",4,Tue Oct 31 20:02:52 +0000 2017
twcs_apple_00040,2659,116346,Is anyone else having problems with there iPhone 7 saying no service? @115858 @115714,2658,@116346 We want to help with this. Let's start troubleshooting by trying the steps here: https://t.co/5KootZbxj1,2,Tue Oct 31 22:41:06 +0000 2017
twcs_apple_00041,2662,116347,So why is this happening I️ I️ I️ @AppleSupport,2661,@116347 We'd be glad to see what we can do for you. Let's meet up in DM first. Thanks! https://t.co/GDrqU22YpT,2,Tue Oct 31 22:32:52 +0000 2017
twcs_apple_00042,2666,116348,I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,2664,@116348 We'd like to look into this with you. Does the song appear to be greyed out?,4,Tue Oct 31 22:44:20 +0000 2017
twcs_apple_00043,2671,116349,@AppleSupport @AppleSupport ^^check this out,2669,@116349 Send us a DM please and we will go from there. https://t.co/GDrqU22YpT,3,Tue Oct 31 22:41:59 +0000 2017
twcs_apple_00044,2676,116349,@AppleSupport HELP ME. I have a problem with my iPhone 7😑,2675,@116349 We're happy to help. What seems to be the problem?,3,Tue Oct 31 22:04:56 +0000 2017
twcs_apple_00045,2678,116350,"@AppleSupport Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up. https://t.co/qBFIAlpGyD",2677,"@116350 We're here for you. DM us, and we'll look into this together. https://t.co/GDrqU22YpT",2,Tue Oct 31 22:38:41 +0000 2017
twcs_apple_00046,2682,116351,@AppleSupport ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,2681,"@116351 We'd love to help with your alarm volume. Is the option to ""Change with Buttons"" disabled under Settings &gt; Sounds?",4,Fri Oct 20 08:39:06 +0000 2017
twcs_apple_00047,2684,116352,@AppleSupport live photo keeps turning on in the camera even when it’s set to stay off. Please fix in next update.,2683,"@116352 Hey, we can work together to figure out a solution. Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT",2,Tue Oct 31 22:38:21 +0000 2017
twcs_apple_00048,3761,116620,Listen I’m having issues with my phone so like can you @ me so we can talk @AppleSupport,3760,@116620 We're here to help. Send us a DM with the issue and we'll follow up from there. https://t.co/GDrqU22YpT,2,Tue Oct 31 23:04:42 +0000 2017
twcs_apple_00049,3764,116621,not only does my phone keep freezing but when i screenshot things it turns out white... really not liking this iphone 8 plus @AppleSupport,3762,@116621 Let's look at this together. Are you updated to iOS 11.1?,4,Tue Oct 31 23:04:59 +0000 2017
twcs_apple_00050,3767,116622,@AppleSupport I’m no expert in battery life  but 40% doesn’t go to 7% in 5minutes,3766,"@116622 We understand your concerns, and want to help. Which device is this happening on?",2,Tue Oct 31 22:59:14 +0000 2017
twcs_apple_00051,3770,116623,@AppleSupport this is my top bar every time I open messages on my SE after updating to iOS 11.1 https://t.co/Lzge3qzc7w,3768,@116623 Thank you for reaching out to us. Have you tried to restart the device? Let us know to get started.,4,Tue Oct 31 23:00:56 +0000 2017
twcs_apple_00052,3773,116624,@AppleSupport iOS 11.1 - keyboard lag. 🤨 https://t.co/TdIHT9L9dt,3772,@116624 We'd like to take a look into that with you. Would you please join us in DM to get started? https://t.co/GDrqU22YpT,2,Tue Oct 31 23:00:36 +0000 2017
twcs_apple_00053,3777,116625,"@AppleSupport I've also forced the app to close from the background and reopened, no dice 🎲",3775,@116625 Let’s team up on this. How long has this been happening? What version number of iOS are you running? Which iPhone do you have?,4,Tue Oct 31 22:53:05 +0000 2017
twcs_apple_00054,4871,116853,Really considering getting a new kind of phone since my iPhone dies with 90% while using my camera 😤 @115858 @AppleSupport @318,4869,@116853 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?,4,Tue Oct 31 23:22:50 +0000 2017
twcs_apple_00055,4875,116854,Come on @AppleSupport #ios11.1  Same bug as before. Numbers disappear when entering info. Video below. #iosproblems https://t.co/eKirAn2Mam,4873,@116854 Let's investigate this together. Does this only occur when using specific apps or website?,3,Tue Oct 31 23:21:57 +0000 2017
twcs_apple_00056,4879,116855,@AppleSupport I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists. https://t.co/x7uUxSqO9u,4878,@116855 We want to help. Does restarting help at all? DM us which iOS version you're on and we'll continue support there. https://t.co/GDrqU22YpT,4,Tue Oct 31 21:36:19 +0000 2017
twcs_apple_00057,4882,116856,@AppleSupport tell me why I️’I’ve updated my phone twice and I️ can’t type letter I️ without getting a letter A and a question mark,4880,@116856 We're here for you. What is the exact version of the iOS you're running? Check by tapping Settings &gt; General &gt; About.,4,Tue Oct 31 23:13:13 +0000 2017
twcs_apple_00058,4890,116857,"@AppleSupport whenever I try to see the photos that I’ve just taken my #iphone6 shows me this. I’ve reset it, I’ve restored it... help? https://t.co/8tQy27WvMe",4887,@116857 We know how important it is to be able to view your photos. Are you able to see older photos on your iPhone?,5,Tue Oct 31 23:16:12 +0000 2017
twcs_apple_00059,4893,116858,This “I️” shit annoying yo @115858 fix this shit,4892,@116858 We're here to help. Send us a DM with the iOS version number you're on. We'll follow up there. https://t.co/GDrqU22YpT,2,Tue Oct 31 23:07:35 +0000 2017
twcs_apple_00060,4897,116859,@AppleSupport AFTER I️ updated my phone.,4898,@116859 Does that continue after restarting your iPhone? Do you have any other iOS devices or a Mac computer? Let us know in DM. https://t.co/GDrqU22YpT,2,Tue Oct 31 23:24:21 +0000 2017
twcs_apple_00061,4896,116859,@AppleSupport please make this stop!!! https://t.co/YoyrO8iZKe,4894,"@116859 Let’s work together on this behavior. How long has this been happening? Also, which device are you using?",3,Tue Oct 31 23:08:51 +0000 2017
twcs_apple_00062,4901,116860,Please fix the battery issues in Ios 11! @AppleSupport @115858,4899,@116860 We want to make sure you have a working battery. Have you had a chance to update to the latest 11.1?,4,Tue Oct 31 23:13:35 +0000 2017
twcs_apple_00063,4906,116855,@AppleSupport The ‘Overlapping url over TIME on Free WiFi hotspots’ remains. v11.0.3. Not a WiFi problem; two different hotspots shown. https://t.co/81ifcrDUeS,4904,@116855 We'd like to have you backup and update your iPhone to iOS 11.1 and let us know if that helps: https://t.co/ahjigcvFRG,4,Tue Oct 31 23:06:38 +0000 2017
twcs_apple_00064,4909,116862,"コレは本当に困る、ゲームも出来なくなったしアップデートしなきゃ良かった´д` ;
@AppleSupport @115858 → 「バッテリーの減りが激しい」という問題に関しても同様）。 https://t.co/bGQly6cE2O",4908,@116862 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj.,2,Tue Oct 31 23:11:05 +0000 2017
twcs_apple_00065,4912,116863,Series1 #Applewatch would consistently get 18 hrs + per charge prior to last update. Now 12-13 hrs max.Died @ gym 2nite. Wtf @AppleSupport ?,4910,"@116863 We want your Apple Watch to keep up with you at the gym. To begin, which watchOS is installed?",3,Tue Oct 31 23:09:18 +0000 2017
twcs_apple_00066,4915,116864,"Don’t complain a lot about @115858 but when battery iphone goes down 50% after using your phone for 30 minutes .....
Problems since update 11",4914,@116864 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,2,Tue Oct 31 22:57:45 +0000 2017
twcs_apple_00067,4917,116865,.@AppleSupport why my iPhone keep dying at 30% quit playing games I'm not getting no new damn phone or iPhone x,4916,@116865 We'd like to help. What iOS version are you on?,2,Tue Oct 31 23:03:40 +0000 2017
twcs_apple_00068,5808,117096,Y’all need to fix this now @115858,5807,@117096 Thank you for reaching out. We've received your DM and will continue working with you there.,2,Tue Oct 31 23:27:31 +0000 2017
twcs_apple_00069,5812,117097,@AppleSupport just updated my 7 plus to 11.1 but I can’t see the new emojis on my watch. Pls help.,5811,@117097 Got it. Have you updated your Apple Watch to 4.1 yet?,4,Tue Oct 31 21:09:27 +0000 2017
twcs_apple_00070,5816,117098,I️ &lt;— wtf is going on @AppleSupport,5815,@117098 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,4,Tue Oct 31 23:11:02 +0000 2017
twcs_apple_00071,5819,117099,@AppleSupport I can’t change lock screen anymore from ‘wallpaper’ in settings. How do I do it now?,5817,@117099 We'd be happy to help. Check out this link to for more information: https://t.co/hSnkM7JIIS,3,Tue Oct 31 23:36:21 +0000 2017
twcs_apple_00072,5821,117100,"Dear @AppleSupport this new update sucks ,I have too many problems with my phone now ! Blurry screen , black screen , frozen phone !",5820,@117100 Getting the expected performance from your iPhone is very important to us. Let us know the exact iOS version to get started.,2,Tue Oct 31 23:28:41 +0000 2017
twcs_apple_00073,5823,117101,@115858 creates amazing technology..... but talk to text still messes up 90% of what I will it to type..... #fixyourcrap,5822,@117101 Let’s work together on this. How long has this been happening? Do you experience similar behavior with Siri?,2,Tue Oct 31 23:29:37 +0000 2017
twcs_apple_00074,5825,117102,"@AppleSupport excuse me, can someone explain to me why when I type an “I️” alone I️ get an A and a question mark???????",5824,@117102 We'll be happy to take a look into it with you. Please send us a DM with what version of iOS you have. https://t.co/GDrqU22YpT,2,Tue Oct 31 23:33:58 +0000 2017
twcs_apple_00075,5829,117103,"Heyyy @115858 still waiting on a version of iOS 11 that isn’t complete shit

— Everyone with any iPhone that isn’t the brand new one",5827,"@117103 Thanks for reaching out. If you're having issues, we'd like to assist. DM us and we'll continue there. https://t.co/GDrqU22YpT",3,Tue Oct 31 23:30:02 +0000 2017
twcs_apple_00076,5833,117104,"sa fait 1h j’ai ios11.1 et mon tel redemarre seul, explication @AppleSupport ?????",5832,@117104 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,4,Tue Oct 31 23:24:02 +0000 2017
twcs_apple_00077,5835,117105,You dropped an update and I️ still see boxed question marks. Fix this shit @AppleSupport @115858.,5834,@117105 We're here to help. Which version of iOS is installed on your device? You'll see this in Settings &gt; General &gt; About.,2,Tue Oct 31 23:24:52 +0000 2017
twcs_apple_00078,5839,117106,Just updated to iOS 11.2 and my keyboard is completely screwed up and glitchy now 🤦‍♂️ @115858 @AppleSupport,5836,@117106 We'd like to assist as best we can. Do you mean iOS 11.1 which was released today?,5,Tue Oct 31 23:32:30 +0000 2017
twcs_apple_00079,5845,117107,@AppleSupport Updated iPad Pro to 11.1.  Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,5843,@117107 We'll help in any way we can. Was this on an https://t.co/coj9FJKJWV email account?,4,Tue Oct 31 23:25:15 +0000 2017
twcs_apple_00080,5849,117108,I updated to iOS 11 and my iPhone 6 stopped connecting to wi-fi. Already restored the phone and the network connections @AppleSupport,5847,"@117108 We are here to help. So we can best isolate the cause, could you verify your exact iOS version? https://t.co/ZTw54HL4Rm",4,Tue Oct 31 23:18:58 +0000 2017
twcs_apple_00081,5853,117109,@319 why is my “it “ autocorrecting to I.T?? So annoying! Can’t change in settings either...@AppleSupport,5852,@117109 We'd love to help. Let's work together in DM. https://t.co/GDrqU22YpT,2,Tue Oct 31 23:16:16 +0000 2017
twcs_apple_00082,6483,117151,Hello @115858 @AppleSupport what’s happening to my screen https://t.co/GTNXT4VoKd,6482,@117151 We'd love to take a look into this concern. Is the screen stuck this way have you restarted it? Send us a DM. https://t.co/GDrqU22YpT,2,Mon Oct 09 00:07:26 +0000 2017
twcs_apple_00083,6554,117154,@AppleSupport how long does it take usually for account recovery to get back to you? It’s been about a week now.,6553,@117154 Having access to your Apple ID is important. Did you receive an email with a confirmation of your request? DM us here: https://t.co/GDrqU22YpT,2,Mon Oct 09 00:12:53 +0000 2017
twcs_apple_00084,6608,117165,@AppleSupport the fact that my laptop that I haven't even had for two years keeps shutting off without warning at 15% is kind of ridiculous.,6607,@117165 Let's see what we can find for you today. Let's meet up in DM to gather some specifics and we'll proceed from there. https://t.co/GDrqU22YpT,2,Mon Oct 09 00:00:42 +0000 2017
twcs_apple_00085,6919,117183,"@AppleSupport I installed the iOS 10.0 , 10.0.1 and 10.0.2 and makes my iPhone 6 very slow and doesn’t work properly can you help me?",6918,"@117183 We can help!  We assume you mean iOS 11, right?  Can you tell us what types of performance issues you're experiencing?",4,Sun Oct 08 23:28:14 +0000 2017
twcs_apple_00086,6928,117186,@AppleSupport my iPhone is a fully up to date so why does my phone keep freezing 🙃???,6927,"@117186 We want to help in any way we can. Which iPhone are you using? Let us know in DM, and we’ll work with you there. https://t.co/GDrqU22YpT",2,Mon Oct 09 00:16:29 +0000 2017
twcs_apple_00087,6934,117189,@115858 after the new apple updates: the battery life is really go fast and the WiFi is always on! @AppleSupport #newappleupdates,6933,@117189 We'd love to help. Let's work on this together in DM. Start by letting us know what kind of device you are using. https://t.co/GDrqU22YpT,2,Mon Oct 09 00:11:15 +0000 2017
twcs_apple_00088,8297,117454,@AppleSupport Hello there i need help with the use of an administartors name and password on my imac,8296,@117454 Hi! We're happy to help. Join us in DM with the macOS version installed on your iMac and more details about what's going on. https://t.co/GDrqU22YpT,2,Sun Nov 05 20:19:05 +0000 2017
twcs_apple_00089,8299,117455,@AppleSupport DL the latest iOS today. Very laggy 6s. Phone is running like hammered dog shit since the DL.,8298,@117455 Are you seeing issues across all apps or are you noticing lag when performing specific tasks? Let us know in DM. https://t.co/GDrqU22YpT,2,Sun Nov 05 20:14:34 +0000 2017
twcs_apple_00090,8302,117456,Every time I watch a live broadcast or video it skips or repeats a few seconds since updating @AppleSupport https://t.co/ufl7yqidmb,8300,"@117456 We'd like to learn more about what's happening. What model &amp; iOS version are you working with? Tell us in DM, please. https://t.co/GDrqU2kzhr",3,Sun Nov 05 20:24:22 +0000 2017
twcs_apple_00091,8304,117457,@116333 @115858  can your team let me know why my new iPhone 6 always has hanging problem I do not know what the problem is by I know I feel I am cheated by apple for phone 📱 do I ?,8303,@117457 We'd be concerned with an unresponsive device too. Let us know your iOS version in DM and we'll help: https://t.co/GDrqU22YpT,2,Sun Nov 05 21:52:45 +0000 2017
twcs_apple_00092,8313,117459,@AppleSupport i have 256 hd and timemachine/system is taking up 150gb of space. I only have 25gb free. Is it suppose to work like this?,8311,@117459 Thanks for reaching out to us. We're happy to help out. We recommend checking out this link: https://t.co/03O2CionXW,5,Sat Nov 04 17:42:01 +0000 2017
twcs_apple_00093,8316,117460,@AppleSupport  https://t.co/Pk9RhMiLjh,8314,@117460 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,4,Sun Nov 05 20:01:15 +0000 2017
twcs_apple_00094,8320,117460,@115858 @AppleSupport iOS 11.1 should never been released. So many bugs. The statusbar randomly disappears in Facebook app,8319,@117460 We'd like to look into the trouble you're having. Does this only occur in the Facebook app?,3,Sun Nov 05 15:11:28 +0000 2017
twcs_apple_00095,8331,117463,Oh my god i’m so embarrassing @115858 why do I always send voice recordings in iMessage by accident do you know how embarrassing that is?!,8330,"@117463 Are you accidentally recording audio message or is this happening on its own? Let us know in a DM, we’ll communicate there: https://t.co/GDrqU22YpT",2,Sun Nov 05 19:59:18 +0000 2017
twcs_apple_00096,8340,117466,@AppleSupport only 8 attempts to open the twitter app and complain about the iOS 11 messing up my iPhone 7 - this is slowing down my life :(,8339,@117466 We'd like to look into this with you. Please DM us details and we'll be glad to work with you towards a resolution. https://t.co/GDrqU22YpT,2,Sun Nov 05 20:16:27 +0000 2017
twcs_apple_00097,8422,117481,"Dear @115858, I have an online order which I never received - who can I talk to?",8421,@117481 We want to help out. Look here to talk with our Online Support:  https://t.co/8yjRd1Xo0i,4,Sat Nov 18 17:33:17 +0000 2017
twcs_apple_00098,8437,117484,@115858 suck! Upgrade phone &amp; I lose my Apple ID. Can’t get new id without old &amp; can’t book Genius bar help appointment without ID!!! #stupid,8434,"@117484 We're happy you reached out so we can find you the info you need. If you forgot your Apple ID, go to the Apple ID account page: https://t.co/ggVDoc1mU7 From here, click ""Forgot Apple ID or password?"" then click ""look it up."" From here, follow the on screen prompts.",5,Sat Nov 18 18:20:42 +0000 2017
twcs_apple_00099,8542,117500,@115858 needs to figure it’s shit out. My phone won’t stop freezing &amp; closing apps 🙄😡,8541,"@117500 Let us help. Does this happen while using any specific app? Also, which version of iOS are you currently running?",2,Tue Oct 31 23:38:03 +0000 2017
twcs_apple_00100,8545,117501,what the fuck @115858? https://t.co/oHhvAW2pqh,8543,"@117501 We're here for you. Let's work together to locate your photos. Did you just recently restore your device, by any chance?",4,Tue Oct 31 23:37:19 +0000 2017
twcs_apple_00101,8548,117502,@AppleSupport lil help? https://t.co/3cl8aEdWdr,8547,@117502 We'd love to help. DM us which iOS device you are experiencing this issue on to get started. https://t.co/GDrqU22YpT,2,Tue Oct 31 23:48:40 +0000 2017
twcs_apple_00102,8553,117503,@AppleSupport ya.. i did that way like 3-4times for make my screen finally worked out. whats the causes anw?  what tips to prevent it wont happen again?,8554,"@117503 We wouldn't want to speculate into the cause, but please send us a DM so we can look into this further with you. https://t.co/GDrqU22YpT",3,Wed Nov 01 00:22:01 +0000 2017
twcs_apple_00103,8557,117503,"@AppleSupport is that safe if we disable passcode for unlock iphone? i mean,is the fingerprint still worked out? i think dat would be enough",8556,@117503 We want to make sure we understand the issue. Are you wanting to disable the passcode and still use Touch ID?,4,Tue Oct 31 20:31:28 +0000 2017
twcs_apple_00104,8561,117504,@AppleSupport  hey what’s going on with the letter I . When i start to. Type this happens below https://t.co/jbNZfUwkzL,8558,"@117504 Let's look at this together. To begin, are you completely updated to iOS 11.1?",5,Tue Oct 31 23:48:57 +0000 2017
twcs_apple_00105,8568,117506,@115858 wtf y’all got going on with my emojis 😐 I’m seeing boxes and shit,8566,@117506 Hey there. 70 new Emoji have been released with iOS 11.1. Update to that and let us know how it goes.,3,Tue Oct 31 23:42:39 +0000 2017
twcs_apple_00106,8570,117507,"@115858 @AppleSupport FYI, Folders no longer show Folder Names after update unless folder highlighted. https://t.co/1iiNNz9ZFk",8569,@117507 Thanks for reaching out. For help with AppleTV reach out to our experts here:  https://t.co/IBIY3vMgPj,2,Tue Oct 31 23:44:22 +0000 2017
